,overlapping_trufflehog_secrets,overlapping_trufflehog_secrets
,recall,count
category,,
AI,0.8653083443502605,12859
CDN,0.019907100199071003,3014
CI/CD,0.11194029850746269,268
CRM,0.06825396825396825,630
Cloud Provider,0.12478230470984555,78665
Code analysis,0.3751891074130106,1322
Collaboration tool,0.5779735682819384,1135
Cryptos,0.8102643856920684,643
Data storage,0.7383814613449567,86263
E-commerce,0.004310344827586207,232
Identity provider,0.3001007049345418,993
Internal,0.0,88
Messaging system,0.10395355673133451,68040
Monitoring,0.07723577235772358,984
Other,0.017055427738578793,1873773
Package registry,0.3802521008403361,476
Payment system,0.18296994696523278,3394
Private key,0.04392049743018366,27823
Remote access,0.05194805194805195,154
Secret management,0.0,217
Social network,0.5864465682015638,1151
Version control platform,0.727698274709108,7477
